lemma,frequency,rank
γαλονάδα,17,19941
γαμώνω,17,19942
γαμήσιο,17,19943
γειτονία,17,19944
γερμανού,17,19945
γεύτομαι,17,19946
γιογιό,17,19947
γκάμα,17,19948
γκάφη,17,19949
γκομενάρης,17,19950
γλειφιτζούριο,17,19951
γλείφτος,17,19952
γλεντζέδα,17,19953
γλυκάκιο,17,19954
γλυκόπικρος,17,19955
γλυκύτητα,17,19956
γοργός,17,19957
γοτθικός,17,19958
γουρουνία,17,19959
γραμμάς,17,19960
γρατζουνώ,17,19961
γυμνοσάλιαγκα,17,19962
δανείσου,17,19963
δάντης,17,19964
δειλιδώ,17,19965
δεινός,17,19966
δεκάλεπτο,17,19967
δεκανίκι,17,19968
δένδρος,17,19969
διαβέτω,17,19970
διαβολεμένος,17,19971
διαδόδλω,17,19972
δίαιτης,17,19973
διακοσαριά,17,19974
διαλεω,17,19975
διαολεμένα,17,19976
διαπλανητικός,17,19977
διασπάω,17,19978
διάτρητος,17,19979
διαυγής,17,19980
διαφύλαξη,17,19981
διδάκτορας,17,19982
διόγκωση,17,19983
δισκάδικος,17,19984
διψάνη,17,19985
δράκαινα,17,19986
δυσάνω,17,19987
δυσκόλ,17,19988
δυσμενής,17,19989
δυσοσμία,17,19990
δυσφήμιση,17,19991
εγκαταλελείπω,17,19992
εισβάλλης,17,19993
εισέρχω,17,19994
εκθρονίζω,17,19995
εκλέκτης,17,19996
εκλεπτύζω,17,19997
εκμυστηρεύω,17,19998
εκπαίδευσα,17,19999
εκπνέη,17,20000
εκσυγχρονίζω,17,20001
εκταφή,17,20002
εκτονώνω,17,20003
εκτοξέπω,17,20004
εκτροχιασμός,17,20005
εκφυλισμός,17,20006
έλω,17,20007
λλείνω,17,20008
έλσα,17,20009
εμετικός,17,20010
έμετος,17,20011
έμμεσα,17,20012
εμπρόσθιος,17,20013
εμφανιζώ,17,20014
εναρκτήριος,17,20015
ενασχόληση,17,20016
ενδιάφω,17,20017
ενδοσκόπηση,17,20018
ενέδρα,17,20019
ενισχυτικά,17,20020
έννομος,17,20021
ένοιωθος,17,20022
ενορίτης,17,20023
εντυπωσιασμός,17,20024
ενυδατώνω,17,20025
εξαεριστήρα,17,20026
εξαλείπω,17,20027
εξαπόλυση,17,20028
εξάρι,17,20029
εξάσκησος,17,20030
εξερράλλω,17,20031
εξερχόμενος,17,20032
εξευγενίζω,17,20033
εξιλέγω,17,20034
εξισώνω,17,20035
εξολοθρείω,17,20036
επακόλουθα,17,20037
επανασυνδέτω,17,20038
επικτέδλω,17,20039
επικτείνω,17,20040
επιστέπω,17,20041
επισφαλής,17,20042
επιτάχυνη,17,20043
επιχείριση,17,20044
έπνιξη,17,20045
ερημικός,17,20046
εριστικός,17,20047
έρμαιο,17,20048
σκάανω,17,20049
εσοχή,17,20050
σάπω,17,20051
ευδιάκριτος,17,20052
εύθυνω,17,20053
ευλόγηση,17,20054
ευχαρίστησο,17,20055
έχων,17,20056
ζούγκλη,17,20057
ζουλός,17,20058
ήβη,17,20059
ήθη,17,20060
ημιφορτηγός,17,20061
ηρώδης,17,20062
θεατρίνα,17,20063
θελκτικός,17,20064
θέλον,17,20065
θεοποιώ,17,20066
θηλύκιος,17,20067
θράσυ,17,20068
θυμόμευνας,17,20069
ιδεολογικός,17,20070
ικέτεύω,17,20071
ίλιγγος,17,20072
ινδιάνικα,17,20073
ινδούς,17,20074
ιστιοπλοΐο,17,20075
καβαλαμβάνω,17,20076
καθός,17,20077
καθοδηγούμενος,17,20078
καθρεφτίζω,17,20079
κάλλη,17,20080
καλοπληρώνω,17,20081
καλτσόν,17,20082
καντράς,17,20083
καουμπόικα,17,20084
καρακάξα,17,20085
καραμπόλα,17,20086
κασέλα,17,20087
καστελάνο,17,20088
καθιγώ,17,20089
κατάγραψη,17,20090
καθιδυώ,17,20091
καθιδώνω,17,20092
κατάδωση,17,20093
κατακέφνω,17,20094
κατάρριψη,17,20095
κατασκοπικός,17,20096
καταφερτζής,17,20097
κατοίκιδιο,17,20098
καφετί,17,20099
κάψη,17,20100
κεραυνέ,17,20101
κηφήνας,17,20102
κινηματογραφώ,17,20103
κλάνη,17,20104
κλοτσά,17,20105
κοινόβιο,17,20106
κοινοπολιτεία,17,20107
κόλας,17,20108
κομπόστο,17,20109
κοπανάνο,17,20110
κοπανίζω,17,20111
κοπανιστός,17,20112
κόσμιος,17,20113
κοτσάνι,17,20114
κουβάλημα,17,20115
κουβαλούσης,17,20116
κουνουπίδι,17,20117
κρεατόπιτα,17,20118
κρεμάα,17,20119
κριθάρι,17,20120
κρουάζιερα,17,20121
κτηνώδης,17,20122
κτητικός,17,20123
κτύπηση,17,20124
κυράδα,17,20125
κώλυμα,17,20126
λάγνος,17,20127
λαιμαργία,17,20128
λακέδα,17,20129
λαπό,17,20130
λατίνο,17,20131
λατίνοι,17,20132
λατρευτής,17,20133
λαχανιάζω,17,20134
λέπι,17,20135
λέρωνη,17,20136
ληξιαρχείο,17,20137
λησμονιά,17,20138
λίθιο,17,20139
λίπη,17,20140
λιποθυμάω,17,20141
λογικώ,17,20142
λουτρός,17,20143
μαγειρείο,17,20144
μαγουλάδα,17,20145
μάγχη,17,20146
μάζωξη,17,20147
μαθήτρια,17,20148
μαλλιαρά,17,20149
μαντεώ,17,20150
μαόνι,17,20151
ματαιόδοξη,17,20152
ματζόρε,17,20153
μάτωση,17,20154
μαχομάζω,17,20155
μεγαλοπρέπεια,17,20156
μεγεθυντικός,17,20157
μενέλαος,17,20158
μεξικάνα,17,20159
μεροληψία,17,20160
μετακόμιζα,17,20161
μεταλλάσσω,17,20162
μετασχηματίζω,17,20163
μετατεθής,17,20164
μήτε,17,20165
μικρούλιος,17,20166
μιμείσαι,17,20167
μισόγυμνη,17,20168
μνημονεύω,17,20169
μόλυνος,17,20170
μουρλή,17,20171
μπάσα,17,20172
μπατάρια,17,20173
μπεκρός,17,20174
μπελαντόνα,17,20175
μπερδευτέας,17,20176
μπιχλιμπίδι,17,20177
μπλακάουτ,17,20178
μπλώ,17,20179
νεοσύλλεκ,17,20180
νεροπίστολος,17,20181
νικαράγουα,17,20182
νοηματικός,17,20183
νομιμοποίηση,17,20184
ντοκούμεν,17,20185
ξαναβρίζω,17,20186
ξαναειδώνω,17,20187
ξανάκος,17,20188
ξαναπερνώ,17,20189
αανασυναντιώ,17,20190
ξαναφάα,17,20191
ξανωφώ,17,20192
ξάπλα,17,20193
ξεκούραστο,17,20194
ξεκώ,17,20195
ξελασπώνω,17,20196
ξεμωραίνω,17,20197
γενυχτώ,17,20198
ξεπώ,17,20199
ξεφουσκώνω,17,20200
ξεχασμένος,17,20201
ξίδι,17,20202
ξόδεμα,17,20203
ξοδίδω,17,20204
ίνω,17,20205
οδήγημα,17,20206
οικτρό,17,20207
ομορφά,17,20208
οξφόρδης,17,20209
οπίσθιος,17,20210
οροθέτηση,17,20211
ουγγρικός,17,20212
ουδέ,17,20213
παγούριο,17,20214
παιδαριώδη,17,20215
πακιστανός,17,20216
παλαίμαχος,17,20217
παλιότομα,17,20218
πανηλίθιος,17,20219
παραγώ,17,20220
παρακοιμώ,17,20221
παραλογίζω,17,20222
παραμιλάμω,17,20223
παράπηγμα,17,20224
παραπληροφόρηση,17,20225
παρασιτικός,17,20226
παράφρονα,17,20227
παραξηγώ,17,20228
παραχέτω,17,20229
παρκαδόρος,17,20230
πασχάλη,17,20231
πατρόν,17,20232
πενθής,17,20233
περιεκτικότητα,17,20234
περιμετρικά,17,20235
πετάγομαι,17,20236
πέψη,17,20237
πιάστρα,17,20238
πιθώκω,17,20239
πικρόχολη,17,20240
πιτσιρίκος,17,20241
πλακίδιο,17,20242
πληκτρολόγώ,17,20243
πνίξιμο,17,20244
πολιτικοποιώ,17,20245
πολυέλαιο,17,20246
πολύλογος,17,20247
πολυμορφικός,17,20248
πολωνέζικος,17,20249
ποντικοουρός,17,20250
πορτοφολάδα,17,20251
ποτοαπαγόρευση,17,20252
πουδράρω,17,20253
προβιβάζω,17,20254
προβοσκίδα,17,20255
προμαθεύω,17,20256
προπάνιο,17,20257
προπονείσαι,17,20258
προσαρμόζομαι,17,20259
προσγειωμένος,17,20260
προσέλευση,17,20261
προσκολλημένος,17,20262
πρόστιμα,17,20263
πρωτομαγιά,17,20264
πτωχός,17,20265
πύλος,17,20266
ραπανάκι,17,20267
ραφαήλ,17,20268
ρετρός,17,20269
ρισκαρίζω,17,20270
ροκάδα,17,20271
ρουλεμάν,17,20272
ρούμπα,17,20273
σαββατιάτικος,17,20274
σακάτηδα,17,20275
σαπουνόπερος,17,20276
σβήσιμος,17,20277
σεβάσμιομαι,17,20278
σεμνότητα,17,20279
σερφάρω,17,20280
σημειώνη,17,20281
σήραγγας,17,20282
σινιάλα,17,20283
σκάτος,17,20284
σκατιός,17,20285
σκορπή,17,20286
σλάιντς,17,20287
σοφή,17,20288
σπιούνος,17,20289
σπόνδυλος,17,20290
στάζη,17,20291
σταθεροποίηση,17,20292
σταυροφόρος,17,20293
στειρότητα,17,20294
στέισον,17,20295
στεναχώριο,17,20296
στερεότυπο,17,20297
στερεοφωνικά,17,20298
στίβος,17,20299
στομαχόπονο,17,20300
στρατολίγω,17,20301
στριμωχτώ,17,20302
στριφογύριζη,17,20303
στρουμφάκια,17,20304
συγκατοίκηση,17,20305
συγκλονιστικά,17,20306
συγκόλληση,17,20307
συμβολικά,17,20308
συμβουλέφω,17,20309
συναντιώνω,17,20310
σύνδεσος,17,20311
συνεδριακός,17,20312
συντροφεύω,17,20313
συραίνω,17,20314
συρμός,17,20315
συσσωρευτής,17,20316
σύστηνη,17,20317
σχιστός,17,20318
σώνει,17,20319
ταπείνω,17,20320
ταχυδρομικώς,17,20321
τέλειο,17,20322
τεμάχιο,17,20323
τεξανοί,17,20324
τερμάτιση,17,20325
τεστάρω,17,20326
τετράποδος,17,20327
τηλεκίνηση,17,20328
τηλεσκόπι,17,20329
τινό,17,20330
τοξότης,17,20331
τραβούς,17,20332
τραυλός,17,20333
τραφώ,17,20334
τραχειοτομή,17,20335
τριάδας,17,20336
τρίξιμο,17,20337
τριπλάσια,17,20338
τρίτωνες,17,20339
τριχός,17,20340
τσάκα,17,20341
τσακισμένος,17,20342
τσιμπίδα,17,20343
τύπωση,17,20344
τυφεκιοφόρος,17,20345
τυχαίως,17,20346
τυχερούλη,17,20347
ύπαρχας,17,20348
υπέρβαρο,17,20349
υπερευαίσθητος,17,20350
υπεροπτικός,17,20351
υπέρυθρο,17,20352
υποδείχω,17,20353
υπόθαλψη,17,20354
υποκίνηση,17,20355
υποκινητής,17,20356
υπόκυψη,17,20357
υποτροπή,17,20358
υποχείριο,17,20359
υφάνω,17,20360
υηηλός,17,20361
ύψιστης,17,20362
φαγοπότι,17,20363
φαινομενικός,17,20364
φαλακρή,17,20365
φάπη,17,20366
φασματικός,17,20367
φασολάκι,17,20368
φεμινισμός,17,20369
φθάρω,17,20370
φθέρω,17,20371
φθηνό,17,20372
φιλτράρισμα,17,20373
φλαμένκο,17,20374
φλαρτώ,17,20375
φλόγα,17,20376
φλυαρεί,17,20377
φορίαμαι,17,20378
φοροαπαλλαγή,17,20379
φορτωτικός,17,20380
φούσκωμα,17,20381
φρουρή,17,20382
φτερωτός,17,20383
φτυστής,17,20384
φώλιασμα,17,20385
φωτόνιο,17,20386
χαβαλές,17,20387
χαλινάρια,17,20388
χαμηλώνης,17,20389
χαρμόσυνος,17,20390
χασομέρατα,17,20391
χηρώ,17,20392
χιμπατζήδα,17,20393
χλωρικός,17,20394
χολοσκάς,17,20395
χώρεση,17,20396
χωριζομάζω,17,20397
ψεκάζομαι,17,20398
ψημένος,17,20399
ψήσος,17,20400
ωάριο,17,20401
ωροσκόπιο,17,20402
αλβανός,16,20403
ανάπλαση,16,20404
αντικατοπτρίζω,16,20405
ανώφελα,16,20406
απαράδεκτα,16,20407
βλέψη,16,20408
γηγενής,16,20409
εκκλησιά,16,20410
εμπορία,16,20411
εναλλακτικά,16,20412
επιβλαβής,16,20413
εποπτεύω,16,20414
εύφορος,16,20415
ιθύνων,16,20416
καμάρα,16,20417
κερδοσκοπικός,16,20418
κομματικός,16,20419
μεταναστευτικός,16,20420
οροσειρά,16,20421
πάραυτα,16,20422
περιστοιχίζω,16,20423
προπάντων,16,20424
προφυλακίζω,16,20425
ριζοσπάστης,16,20426
συσχέτιση,16,20427
υλοποίηση,16,20428
χούντα,16,20429
χρωστικός,16,20430
αγαθιάρης,16,20431
αγαπιέσαι,16,20432
αγγειακός,16,20433
αγοραπωλησία,16,20434
αγωγό,16,20435
αδίζω,16,20436
αδέσμευτος,16,20437
αδιάζω,16,20438
αδικαιολογήτα,16,20439
αεροναυπηγικός,16,20440
άθεοι,16,20441
αιματοβαμμένο,16,20442
αιτιολογώ,16,20443
αιφνιδίαση,16,20444
αιχμαλώνω,16,20445
ακινητοποίηση,16,20446
ακολουθούμενος,16,20447
άκουσμα,16,20448
ακτινίδιο,16,20449
αλείνω,16,20450
αλκοτέστ,16,20451
αλληλογραφώ,16,20452
αλμυρά,16,20453
αλώβητος,16,20454
αμάδα,16,20455
αμελητέος,16,20456
αμετάβλητος,16,20457
αμετάκλητος,16,20458
αμέτοχος,16,20459
άμπωτη,16,20460
αμφίβαλη,16,20461
ανακηρύζω,16,20462
αναλώνω,16,20463
αναμεταδίδω,16,20464
ανάστατος,16,20465
αναστρέψιμος,16,20466
ανεξάντλητος,16,20467
ανεξιχνίαστος,16,20468
ανοξείδωτο,16,20469
ανταλλακτήριο,16,20470
ανταμώνω,16,20471
ανταπόδιδη,16,20472
αντέδραση,16,20473
αντίγραψη,16,20474
αντικειμενικότητα,16,20475
αντιπάθεια,16,20476
αντίστροφη,16,20477
αξιέπτω,16,20478
απατηλός,16,20479
άπειρον,16,20480
αποκλίνω,16,20481
απελευθερωμένος,16,20482
απολεικνύω,16,20483
απελπιστεί,16,20484
απεναντία,16,20485
αποπλέω,16,20486
απέφυγα,16,20487
απλό,16,20488
απλούστατα,16,20489
αποδεκατίζω,16,20490
αποκομίζω,16,20491
αποκωδικοποιητής,16,20492
αποστρατεύω,16,20493
αράδα,16,20494
αρίας,16,20495
αριζόνας,16,20496
αριστοκράτισσα,16,20497
αρμέγω,16,20498
αρμίζω,16,20499
αρχιτέκτος,16,20500
ασθενικός,16,20501
άστειο,16,20502
αυλητής,16,20503
αυξημένω,16,20504
αυστραλός,16,20505
αυτογνωσία,16,20506
αφαίμαξη,16,20507
αφεντιά,16,20508
αφοπλίπτω,16,20509
αχήρίζομαι,16,20510
βαμβακιός,16,20511
βάναυση,16,20512
βασανιστικά,16,20513
βιτσιόζικος,16,20514
βοοείδα,16,20515
βόυτημα,16,20516
βράζη,16,20517
βραχίονο,16,20518
βρομιάρα,16,20519
γαμάτε,16,20520
γειτονόπουλο,16,20521
γελαδάρηδα,16,20522
γενεαλογία,16,20523
γέρνη,16,20524
γιαννάκης,16,20525
γιοχάνεσμπουργκ,16,20526
γκέισα,16,20527
γκρίνιος,16,20528
γλένω,16,20529
γλυπτικός,16,20530
γόητρο,16,20531
γρανάζι,16,20532
γράψιμα,16,20533
γρύλισμα,16,20534
γυαλιστερής,16,20535
γυμναστώ,16,20536
γυμνόστηθος,16,20537
γυναικούλης,16,20538
γύφτο,16,20539
δαύτης,16,20540
δεντρολίβανο,16,20541
δεξαμενής,16,20542
δημιουργικά,16,20543
διαδεδομένος,16,20544
διαδικαστικός,16,20545
διαίρεση,16,20546
διαιτητικός,16,20547
διάλειψη,16,20548
διανεμώ,16,20549
διανόηση,16,20550
διαπεραστικός,16,20551
διάπραττης,16,20552
διασωθώ,16,20553
δίαυλος,16,20554
διαχρονικός,16,20555
διδάστω,16,20556
διαγνωνώ,16,20557
διεισδυτικός,16,20558
διενεργώ,16,20559
διευθυντικός,16,20560
δικάνω,16,20561
δικογραφία,16,20562
διόνυσο,16,20563
διορίσταμαι,16,20564
διφθερίτιδα,16,20565
διφορούμενος,16,20566
διχασμένος,16,20567
δυνάστης,16,20568
δυσκοίλιος,16,20569
δύσκω,16,20570
δυσκόλευται,16,20571
δυσφήμηση,16,20572
εγκλαβίζω,16,20573
εδουάρδος,16,20574
ειδεχθή,16,20575
εικονογραφώ,16,20576
ειπείν,16,20577
εισπνής,16,20578
εκδικείσαι,16,20579
εκλρυτυζάνω,16,20580
εκτενώ,16,20581
εκφραστώ,16,20582
εκφωνητής,16,20583
ελαφρυντικός,16,20584
εναλλάξ,16,20585
ενοχλαμένος,16,20586
ενοχλούσα,16,20587
εντόπιζη,16,20588
εξάδελφος,16,20589
εξασκέας,16,20590
εξώνω,16,20591
εκταζώ,16,20592
εορτάζον,16,20593
επαγρυπνώ,16,20594
επαναστάτρια,16,20595
επαναφορτίζω,16,20596
επεξεργασμένος,16,20597
επήρεαση,16,20598
επιβλέψω,16,20599
επιδρομέας,16,20600
επίθυμηση,16,20601
επικαιρότητα,16,20602
επίκρινη,16,20603
επισκεπτόμαι,16,20604
επιστέψω,16,20605
εργοδηγός,16,20606
ερχομενω,16,20607
εσκένω,16,20608
σφύζω,16,20609
ετοιμοθάνατης,16,20610
εύη,16,20611
ευλάβεια,16,20612
ευνουχισμός,16,20613
ευχέρεια,16,20614
εφευρέτη,16,20615
εφτάριο,16,20616
έχτισα,16,20617
ζαχαρίας,16,20618
ζάχαρο,16,20619
ζήλεψη,16,20620
ζητιάνευη,16,20621
ζόριση,16,20622
ζυθοποιείο,16,20623
ηθικολόγος,16,20624
ηλιακτίδα,16,20625
ηλίθιων,16,20626
ημιτελής,16,20627
ηρώδη,16,20628
ηχομόνωση,16,20629
ηχοσύστημα,16,20630
θειικό,16,20631
θεόμουρλος,16,20632
θεοπάλαβη,16,20633
θρακιώτης,16,20634
θρηνέας,16,20635
θυσίαναμαι,16,20636
θυσίαζη,16,20637
ιδιαιτέρα,16,20638
ακανοποιώ,16,20639
ικρίωμα,16,20640
ιπποτικός,16,20641
ίσου,16,20642
ισχυριζόμενος,16,20643
καβαλικεύω,16,20644
καθίζηση,16,20645
καλλιτεχνικά,16,20646
καλτσόδετο,16,20647
καλτσοδέτης,16,20648
καμακώνω,16,20649
καπετάνιους,16,20650
καπότα,16,20651
καραβάνω,16,20652
καρκίνωμα,16,20653
καρτέρι,16,20654
κασός,16,20655
κατακόκκινα,16,20656
κατακραυγή,16,20657
κατασκεύασμα,16,20658
καθίταγαι,16,20659
κατατρώγω,16,20660
καταχώριση,16,20661
κατηγορηματικός,16,20662
κάτοπτρο,16,20663
κατουρημένος,16,20664
κατσουφιάζω,16,20665
κάτωτατος,16,20666
καυγαδάκι,16,20667
καφετερία,16,20668
κάψου,16,20669
κέλτικος,16,20670
κεραμίδας,16,20671
κερδοφόρο,16,20672
κηδώ,16,20673
κίβωτιο,16,20674
κιτρινιάρης,16,20675
κλαδάκι,16,20676
κλέμιενο,16,20677
κληρόνομος,16,20678
κλουβίός,16,20679
κοινοτοπία,16,20680
κοίτης,16,20681
κοκάλα,16,20682
κοκκαλιάρα,16,20683
κοκκίνιζη,16,20684
κολάι,16,20685
κόμμωση,16,20686
κομπρεσέας,16,20687
κονδύλι,16,20688
κόνσερ,16,20689
κόπρος,16,20690
κόρφος,16,20691
κοσμικά,16,20692
κοστουμία,16,20693
κοτύς,16,20694
κουκίδα,16,20695
κούκλο,16,20696
κουκλόσπιτο,16,20697
κουσούρι,16,20698
κρασία,16,20699
κριάρι,16,20700
κρίθηκες,16,20701
κριό,16,20702
κροκέτης,16,20703
κρουστός,16,20704
κρυσταλλικός,16,20705
κρυφάκουγες,16,20706
κρυφοκοιτώ,16,20707
κτηματολόγιο,16,20708
κύκλωπας,16,20709
κυνοδρομία,16,20710
κύριον,16,20711
λάβδανο,16,20712
λαδιά,16,20713
λαλώ,16,20714
λαυράκι,16,20715
λάφυρο,16,20716
λαχταρά,16,20717
λειτούργημα,16,20718
λιμενεργάτης,16,20719
λογοκρίνω,16,20720
μαγαμένος,16,20721
μάγιστρος,16,20722
μάγμα,16,20723
μαθευώ,16,20724
μανάβικο,16,20725
μαργαριταρένος,16,20726
μαριάννα,16,20727
μασονικός,16,20728
μασουλώ,16,20729
μαστάριο,16,20730
μαφιόζικος,16,20731
μεγάλειοτα,16,20732
μεθαδόνη,16,20733
μελάνος,16,20734
μελωδικός,16,20735
μεταλλαγή,16,20736
μεταμοσχεύω,16,20737
μετατροπέας,16,20738
μετάφραζη,16,20739
μετέφρασα,16,20740
μετριάζω,16,20741
μηδενίζω,16,20742
μίασμα,16,20743
μίνιος,16,20744
μονάρχη,16,20745
μονολίζω,16,20746
μορφονιέ,16,20747
μούδιασμα,16,20748
μουνάρα,16,20749
μουσάκι,16,20750
μοχθηρίος,16,20751
μπασταρδάκι,16,20752
μπεκρή,16,20753
μυλαίδη,16,20754
μυρωδάτος,16,20755
μυστηρίωδος,16,20756
ναρκόπεδιο,16,20757
νεκροκεφαλής,16,20758
νεοφέρω,16,20759
νευρίνω,16,20760
νιαουρίζω,16,20761
νίκος,16,20762
νοήμονας,16,20763
νοικοκυρευτής,16,20764
ντουμπλάρω,16,20765
ντραπώ,16,20766
νυκτός,16,20767
ξαναδιάβα,16,20768
ξάναδωση,16,20769
ξανάζηση,16,20770
ξανακόυ,16,20771
ξανάνοιξη,16,20772
ξανατηλεφωνηση,16,20773
γαναχτυπώ,16,20774
ξεβράκωτο,16,20775
ξεγραμβάνω,16,20776
ξεθωρίζω,16,20777
ξεκνύω,16,20778
ξελογίζω,16,20779
ξεμπερδέματα,16,20780
ξεμυαλίζω,16,20781
ξεμυτίζω,16,20782
ξενύχτιο,16,20783
ξεπακετάρω,16,20784
ξεπείνω,16,20785
ξεπεσμός,16,20786
ξεροκαφώ,16,20787
ξεσκόνισμα,16,20788
ξέσπασα,16,20789
ξετρελώνω,16,20790
ξεφτέρι,16,20791
ξεφύτρωση,16,20792
ξεχνιέζω,16,20793
ξεχύνομαι,16,20794
ξύρισα,16,20795
οδοντωτός,16,20796
οικοσύστημα,16,20797
ολομόναχο,16,20798
ολονυχτία,16,20799
ομαδικότητα,16,20800
ομολογουμένως,16,20801
ομορφάντρα,16,20802
όνος,16,20803
οξέος,16,20804
όξινος,16,20805
οπισθοχώ,16,20806
οπλοφορέας,16,20807
ορθογώνιος,16,20808
ορμό,16,20809
όρνο,16,20810
ορυζώνας,16,20811
ουδετερότητα,16,20812
οχυρός,16,20813
παγοδρομία,16,20814
παγοκολώνα,16,20815
παιδιάστικα,16,20816
παιδίατρο,16,20817
παλαιοντολογία,16,20818
παλικαριά,16,20819
παλιότερος,16,20820
παλός,16,20821
παλία,16,20822
πανικοβλήνω,16,20823
παραβάν,16,20824
παραγέρω,16,20825
παρακινδυνεύω,16,20826
παράκουσα,16,20827
παράκουση,16,20828
παραμιλάς,16,20829
παρασιτοκτόνας,16,20830
παράτολμο,16,20831
παράφρονας,16,20832
παραφρονώ,16,20833
παρερμηνεύω,16,20834
παραυρέφω,16,20835
παρίστανα,16,20836
παρκερίζω,16,20837
παρμεζάνα,16,20838
πασπατεύω,16,20839
παστέλ,16,20840
πατερά,16,20841
πέδα,16,20842
πέλμα,16,20843
πενιχρός,16,20844
πεντανόστιμα,16,20845
πεντάχρονο,16,20846
περηφανεύομαι,16,20847
περιπλάνηση,16,20848
περιστατικά,16,20849
περιτριγίρω,16,20850
πέρση,16,20851
πέτο,16,20852
πέτρου,16,20853
πετρώνω,16,20854
πεφθώ,16,20855
πεφταστέρι,16,20856
πήγη,16,20857
πιεστήριο,16,20858
πικράμενος,16,20859
πινακοθήκος,16,20860
πλάω,16,20861
πο,16,20862
πνευματικότητα,16,20863
ποναγώ,16,20864
πορτραίτα,16,20865
πρεζάκηδα,16,20866
πρεσβυτέριο,16,20867
προαισθάνω,16,20868
προετοίμαζη,16,20869
προθυμοποιώ,16,20870
προκατειλαμμένος,16,20871
προμαθέυω,16,20872
προμηνύω,16,20873
προσέβαλα,16,20874
προσεχή,16,20875
προσηλωμένος,16,20876
προσκοπίνα,16,20877
προσμένω,16,20878
προσπέρνω,16,20879
προσχεδιάζω,16,20880
πρόφταση,16,20881
πρωταγωνιστικός,16,20882
πρωτοώ,16,20883
πυλώνη,16,20884
πυροβολημένος,16,20885
πυροσβεστής,16,20886
ρωγίζω,16,20887
ράντσα,16,20888
ρισκαρώ,16,20889
ριψοκίνδυνα,16,20890
ρόδων,16,20891
ροσμπίφ,16,20892
ρωμαία,16,20893
ρώσου,16,20894
σάβανο,16,20895
σαγηνευτικός,16,20896
σακατέζω,16,20897
σαουδάραβες,16,20898
σαουδικός,16,20899
σάρκα,16,20900
σαστίζω,16,20901
σεβασμιοτάτη,16,20902
σεκιουριτής,16,20903
σεμνότυφη,16,20904
σεμνότυφος,16,20905
σερνώ,16,20906
σεσημασμένος,16,20907
σήκωμα,16,20908
σιγοτραγουδός,16,20909
σικελός,16,20910
σκεφτικός,16,20911
σκηνοθέτησα,16,20912
σκιτσάρω,16,20913
σκουπόξυλο,16,20914
σμίκρυνση,16,20915
σνομπάρω,16,20916
σονέτο,16,20917
σουαχίλι,16,20918
σπάγκος,16,20919
σπαταλάα,16,20920
σπιτάκιο,16,20921
σπρωξιό,16,20922
σταυρωτά,16,20923
στέφνω,16,20924
στιγμιότυπο,16,20925
στοιχηματζή,16,20926
στομαχικός,16,20927
στόφος,16,20928
στρατιωτάκι,16,20929
στρατιωτάκιο,16,20930
στρατοδίκειο,16,20931
στρέψω,16,20932
στρίμωγμα,16,20933
στρυχνίνη,16,20934
στρώσου,16,20935
στυλοβάτης,16,20936
σύγγραμμα,16,20937
συγκρατημένος,16,20938
συγκωίνω,16,20939
συγκρούεται,16,20940
συγχέω,16,20941
συζυγικά,16,20942
συκώτιο,16,20943
συμπερίλαβη,16,20944
συμπεριφερθείμαι,16,20945
συμπολεμιστής,16,20946
συνεπάρει,16,20947
σφαγμένος,16,20948
σωληνάριο,16,20949
τηίζω,16,20950
ταπίζω,16,20951
τάσι,16,20952
ταχυπαλμία,16,20953
τζαμαϊκανός,16,20954
τζιτζίκι,16,20955
τζόκινγκ,16,20956
τηλώ,16,20957
τηλεμεταφορέας,16,20958
τιβέριος,16,20959
τιτάνας,16,20960
τομάτα,16,20961
τονώ,16,20962
τρακαρίζω,16,20963
τρίδυμα,16,20964
τρίψτε,16,20965
τρόμπα,16,20966
τροχιακός,16,20967
τσάκιω,16,20968
τσακωνω,16,20969
τσιμεντένιο,16,20970
τσιρότα,16,20971
τσίτσιδος,16,20972
τυραννικός,16,20973
υπάκουσος,16,20974
υπενθύμιζη,16,20975
υπερέχω,16,20976
υπεριώδα,16,20977
υπευθύνος,16,20978
υποατομικός,16,20979
υπόβαλλω,16,20980
υποδειγματικός,16,20981
υποτέλεια,16,20982
υποτιμητικά,16,20983
υποχωρέα,16,20984
υποψιαζόμαι,16,20985
ύφάλος,16,20986
υφαντό,16,20987
φαινώνω,16,20988
παλακρός,16,20989
φαρσέρ,16,20990
φάτνη,16,20991
φθηνός,16,20992
φιλόλογος,16,20993
φλάνδρα,16,20994
φλέρταρα,16,20995
φλογίζω,16,20996
φόρας,16,20997
φορτηγατζήδα,16,20998
φορτηγατζή,16,20999
φορτικός,16,21000
φαθίώνω,16,21001
φουκαράδα,16,21002
φρέος,16,21003
φρουτοσαλάτα,16,21004
φτέρνα,16,21005
φτερουγίζω,16,21006
φεγώ,16,21007
φελω,16,21008
φωτογραφείο,16,21009
χακί,16,21010
χαλβά,16,21011
χαμάμ,16,21012
χαμηλόφωνα,16,21013
χαραμάδα,16,21014
χάραξη,16,21015
χασάπικο,16,21016
χειροποίητη,16,21017
χειροτονώ,16,21018
χήνω,16,21019
χιτώνιο,16,21020
χλεύω,16,21021
χλέυαζη,16,21022
χοντρέλο,16,21023
χουφτώνει,16,21024
