surface,lemma,upos
διασφαλίζεται,διασφαλίζω,VERB
διασφαλίσει,διασφαλίζω,VERB
διασφαλίσουμε,διασφαλίζω,VERB
διασφαλίσουν,διασφαλίζω,VERB
διασφαλιστεί,διασφαλίζω,VERB
διασχίζει,διασχίζω,VERB
διασχίζονταν,διασχίζω,VERB
διασχίζοντας,διασχίζω,VERB
διασωστικές,διασωστικός,ADJ
διασώζονται,διασώζω,VERB
διατάξεις,διάταξη,NOUN
διατάξεων,διάταξη,NOUN
διατέθηκαν,διαθέτω,VERB
διατήρηση,διατήρηση,NOUN
διατίθενται,διαθέτω,VERB
διαταραχή,διαταραχή,NOUN
διατεθειμένη,διαθέτω,VERB
διατεθειμένο,διατεθειμένος,ADJ
διατεθειμένοι,διαθέτω,VERB
διατεθούν,διαθέτω,VERB
διατηρήθηκε,διατηρώ,VERB
διατηρήσει,διατηρώ,VERB
διατηρήσετε,διατηρώ,VERB
διατηρήσουμε,διατηρώ,VERB
διατηρεί,διατηρώ,VERB
διατηρηθεί,διατηρώ,VERB
διατηρητέα,διατηρητέος,ADJ
διατηρητέο,διατηρητέος,ADJ
διατηρούν,διατηρώ,VERB
διατηρώντας,διατηρώ,VERB
διατρέχει,διατρέχω,VERB
διατρανώνουν,διατρανώνω,VERB
διατροφής,διατροφή,NOUN
διατυπωθεί,διατυπώνω,VERB
διατυπωθούν,διατυπώνω,VERB
διατυπώθηκαν,διατυπώνω,VERB
διατυπώθηκε,διατυπώνω,VERB
διατυπώνει,διατυπώνω,VERB
διατυπώνονται,διατυπώνω,VERB
διατυπώσω,διατυπώνω,VERB
διατύπωσα,διατυπώνω,VERB
διατύπωση,διατύπωση,NOUN
διαφάνειας,διαφάνεια,NOUN
διαφέρει,διαφέρω,VERB
διαφέρουν,διαφέρω,VERB
διαφανή,διαφανής,ADJ
διαφανής,διαφανής,ADJ
διαφθορά,διαφθορά,NOUN
διαφθοράς,διαφθορά,NOUN
διαφιλονικούμενη,διαφιλονικούμενος,ADJ
διαφορά,διαφορά,NOUN
διαφορές,διαφορά,NOUN
διαφορετικά,διαφορετικά,ADV
διαφορετικά,διαφορετικός,ADJ
διαφορετικές,διαφορετικός,ADJ
διαφορετική,διαφορετικός,ADJ
διαφορετικούς,διαφορετικός,ADJ
διαφορετικών,διαφορετικός,ADJ
διαφοροποιεί,διαφοροποιώ,VERB
διαφοροποιημένες,διαφοροποιώ,VERB
διαφορών,διαφορά,NOUN
διαφυγή,διαφυγή,NOUN
διαφυλάττει,διαφυλάγω,VERB
διαφωνία,διαφωνία,NOUN
διαφωνίες,διαφωνία,NOUN
διαφωνούσαν,διαφωνώ,VERB
διαφόρων,διάφορος,ADJ
διαφύγει,διαφεύγω,VERB
διαφώνησαν,διαφωνώ,VERB
διαχείριση,διαχείριση,NOUN
διαχείρισης,διαχείριση,NOUN
διαχειριστική,διαχειριστικός,ADJ
διαχωρισμού,διαχωρισμός,NOUN
διαχωρισμό,διαχωρισμός,NOUN
διαχωρισμός,διαχωρισμός,NOUN
διαχώριζαν,διαχωρίζω,VERB
διδάσκαλος,διδάσκαλος,NOUN
διδασκομένων,διδασκόμενος,NOUN
διδασκόντων,διδάσκων,NOUN
διδαχθούμε,διδάσκω,VERB
διείσδυση,διείσδυση,NOUN
διεθνές,διεθνής,ADJ
διεθνή,διεθνής,ADJ
διεθνής,διεθνής,ADJ
διεθνείς,διεθνής,ADJ
διεθνούς,διεθνής,ADJ
διεθνών,διεθνής,ADJ
διεθνώς,διεθνώς,ADV
διεκδικεί,διεκδικώ,VERB
διεκπεραίωση,διεκπεραίωση,NOUN
διεκόπη,διακόπτω,VERB
διενέργεια,διενέργεια,NOUN
διεξάγει,διεξάγω,VERB
διεξάγεται,διεξάγω,VERB
διεξάγονται,διεξάγω,VERB
διεξάγουμε,διεξάγω,VERB
διεξάγουν,διεξάγω,VERB
διεξήγαν,διεξάγω,VERB
διεξήχθη,διεξάγω,VERB
διεξήχθησαν,διεξάγω,VERB
διεξαγάγαμε,διεξάγω,VERB
διεξαγάγουμε,διεξάγω,VERB
διεξαγωγή,διεξαγωγή,NOUN
διεξαγωγής,διεξαγωγή,NOUN
διεξαχθεί,διεξάγω,VERB
διεξαχθούν,διεξάγω,VERB
διερευνήσει,διερευνώ,VERB
διερεύνηση,διερεύνηση,NOUN
διερεύνησης,διερεύνηση,NOUN
διερμηνείες,διερμηνεία,NOUN
διερχόμενα,διερχόμενος,ADJ
διερχόμενη,διερχόμενος,ADJ
διετή,διετής,ADJ
διετία,διετία,NOUN
διευθέτηση,διευθέτηση,NOUN
διευθυντής,διευθυντής,NOUN
διευθύντρια,διευθύντρια,NOUN
διευκολύνει,διευκολύνω,VERB
διευκολύνουμε,διευκολύνω,VERB
διευκρίνιση,διευκρίνιση,NOUN
διευκρινίζονται,διευκρινίζω,VERB
διευκρινίσει,διευκρινίζω,VERB
διευκρινίσω,διευκρινίζω,VERB
διευκρινιστεί,διευκρινίζω,VERB
διευκόλυνση,διευκόλυνση,NOUN
διευρυμένης,διευρύνω,VERB
διευρύνθηκε,διευρύνω,VERB
διεύθυνσης,διεύθυνση,NOUN
διεύρυνση,διεύρυνση,NOUN
διεύρυνσης,διεύρυνση,NOUN
διηύθυνε,διευθύνω,VERB
δικά,δικός,ADJ
δικές,δικός,ADJ
δική,δικός,ADJ
δικής,δικός,ADJ
δικαίου,δίκαιο,NOUN
δικαίωμα,δικαίωμα,NOUN
δικαίως,δίκαια,ADV
δικαιοδοσία,δικαιοδοσία,NOUN
δικαιολογία,δικαιολογία,NOUN
δικαιολογεί,δικαιολογώ,VERB
δικαιολογημένα,δικαιολογώ,ADV
δικαιολογημένοι,δικαιολογημένος,ADJ
δικαιοσύνη,δικαιοσύνη,NOUN
δικαιοσύνης,δικαιοσύνη,NOUN
δικαιωμάτων,δικαίωμα,NOUN
δικαιώματα,δικαίωμα,NOUN
δικαιώματος,δικαίωμα,NOUN
δικαστές,δικαστής,NOUN
δικαστήρια,δικαστήριο,NOUN
δικαστήριο,δικαστήριο,NOUN
δικαστής,δικαστής,NOUN
δικαστηρίου,δικαστήριο,NOUN
δικαστικές,δικαστικός,ADJ
δικαστικής,δικαστικός,ADJ
δικαστικό,δικαστικός,ADJ
δικαστικών,δικαστικός,ADJ
δικηγόρους,δικηγόρος,NOUN
δικονομίας,δικονομία,NOUN
δικτατορία,δικτατορία,NOUN
δικτύου,δίκτυο,NOUN
δικό,δικός,ADJ
διμερή,διμερής,ADJ
διμερείς,διμερής,ADJ
διοίκηση,διοίκηση,NOUN
διοικητή,διοικητής,NOUN
διοικητήριο,διοικητήριο,NOUN
διοικητηρίου,διοικητήριο,NOUN
διοικητικά,διοικητικός,ADJ
διοικητικό,διοικητικός,ADJ
διοικητικών,διοικητικός,ADJ
διονυσίου,διονύσιος,PROPN
διονύσου,διόνυσος,PROPN
διοξειδίου,διοξείδιο,NOUN
διορίζονται,διορίζω,VERB
διοργάνωσε,διοργανώνω,VERB
διοργάνωσης,διοργάνωση,NOUN
διοργανικές,διοργανικός,ADJ
διοργανική,διοργανική,ADJ
διοργανωθεί,διοργανώνω,VERB
διοργανώθηκε,διοργανώνω,VERB
διοργανώσουμε,διοργανώνω,VERB
διορισμοί,διορισμός,NOUN
διορισμούς,διορισμός,NOUN
διορισμός,διορισμός,NOUN
διοχέτευσή,διοχέτευση,NOUN
διοχετεύθηκαν,διοχετεύω,VERB
διπλάσιο,διπλάσιος,ADJ
διπλή,διπλός,ADJ
διπλασιάσει,διπλασιάζω,VERB
διπλού,διπλός,ADJ
διπλωμάτων,δίπλωμα,NOUN
διπλωματία,διπλωματία,NOUN
διπλωματίας,διπλωματία,NOUN
διπλωματικές,διπλωματικός,ADJ
διπλωματικό,διπλωματικός,ADJ
διπλό,διπλός,ADJ
δισεκατομμυρίων,δισεκατομμύριο,NOUN
δισεκατομμύρια,δισεκατομμύριο,NOUN
δισεκατομμύριο,δισεκατομμύριο,NOUN
διχασμού,διχασμός,NOUN
διχασμό,διχασμός,NOUN
διχλωροβενζόλιο,διχλωροβενζόλιο,NOUN
διότι,διότι,SCONJ
διώξεις,δίωξη,NOUN
διώξουν,διώχνω,VERB
διώχθηκαν,διώκω,VERB
δογματισμό,δογματισμός,NOUN
δοθεί,δίνω,VERB
δοθούν,δίνω,VERB
δοκιμάσει,δοκιμάζω,VERB
δοκιμάσουμε,δοκιμάζω,VERB
δοκιμάσουν,δοκιμάζω,VERB
δοκιμές,δοκιμή,NOUN
δοκιμή,δοκιμή,NOUN
δοκιμασία,δοκιμασία,NOUN
δοκιμών,δοκιμή,NOUN
δολάρια,δολάριο,NOUN
δολάριο,δολάριο,NOUN
δολαρίων,δολάριο,NOUN
δολοφονίας,δολοφονία,NOUN
δολοφονίες,δολοφονία,NOUN
δολοφονική,δολοφονικός,ADJ
δολοφόνησαν,δολοφονώ,VERB
δομημένο,δομώ,VERB
δομών,δομή,NOUN
δορυφόρο,δορυφόρος,NOUN
δορυφόρος,δορυφόρος,NOUN
δορυφόρου,δορυφόρος,NOUN
δοσιλογικών,δοσιλογικός,ADJ
δουβλίνου,δουβλίνο,PROPN
δουλειά,δουλειά,NOUN
δουλειάς,δουλειά,NOUN
δουλειές,δουλειά,NOUN
δουν,βλέπω,VERB
δούλεψαν,δουλεύω,VERB
δούμε,βλέπω,VERB
δράμα,δράμα,PROPN
δράσεις,δράση,NOUN
δράσεων,δράση,NOUN
δράση,δράση,NOUN
δράσης,δράση,NOUN
δράσουν,δρω,VERB
δράστη,δράστης,NOUN
δράστης,δράστης,NOUN
δράττομαι,δράττω,VERB
δρέπανον,δρέπανο,NOUN
δρέπανος,δρέπανος,PROPN
δρίσκου,δρίσκος,PROPN
δραστήρια,δραστήρια,ADV
δραστηριοποιείται,δραστηριοποιώ,VERB
δραστηριοποιηθούν,δραστηριοποιώ,VERB
δραστηριοποιούμενους,δραστηριοποιούμενος,ADJ
δραστηριοτήτων,δραστηριότητα,NOUN
δραστηριοτήτων,εμπλουτισμός,NOUN
δραστηριότητές,δραστηριότητα,NOUN
δραστηριότητα,δραστηριότητα,NOUN
δραστηριότητες,δραστηριότητα,NOUN
δραστικά,δραστικά,ADV
δραστικές,δραστικός,ADJ
δραστών,δράστης,NOUN
δραχμή,δραχμή,NOUN
δρεπάνι,δρεπάνι,NOUN
δριμύτατη,δριμύς,ADJ
δριμύτερες,δριμύς,ADJ
δρομάκια,δρομάκι,NOUN
δρομολογήσει,δρομολογώ,VERB
δρομολόγησή,δρομολόγηση,NOUN
δρομολόγηση,δρομολόγηση,NOUN
δρομολόγια,δρομολόγιο,NOUN
δρυμείας,δρυμείας,ADJ
δρόμο,δρόμος,NOUN
δρόμοι,δρόμος,NOUN
δρόμος,δρόμος,NOUN
δρόμους,δρόμος,NOUN
δυνάμεις,δύναμη,NOUN
δυνάμεων,δύναμη,NOUN
δυνάμωσαν,δυναμώνω,VERB
δυναμικά,δυναμικά,ADV
δυναμική,δυναμικός,ADJ
δυναμικού,δυναμικός,NOUN
δυναστείας,δυναστεία,NOUN
δυνατές,δυνατός,ADJ
δυνατή,δυνατός,ADJ
δυνατής,δυνατός,ADJ
δυνατό,δυνατός,ADJ
δυνατόν,δυνατός,ADJ
δυνατότητα,δυνατότητα,NOUN
δυνατότητες,δυνατότητα,NOUN
δυνητικά,δυνητικά,ADV
δυρράχιο,δυρράχιο,PROPN
δυσαρέσκεια,δυσαρέσκεια,NOUN
δυσκίνητα,δυσκίνητος,ADJ
δυσκολίες,δυσκολία,NOUN
δυσκολότερο,δύσκολος,ADJ
δυσπιστώ,δυσπιστώ,VERB
δυσπρόσιτα,δυσπρόσιτος,ADJ
δυστυχήματα,δυστύχημα,NOUN
δυστυχήματος,δυστύχημα,NOUN
δυστυχημάτων,δυστύχημα,NOUN
δυστυχώς,δυστυχώς,ADV
δυσφημίσει,δυσφημίζω,VERB
δυσχερέστερη,δυσχερής,ADJ
δυτικά,δυτικά,ADV
δυτικά,δυτικά,NOUN
δυτικά,δυτικός,ADV
δυτικές,δυτικός,ADJ
δυτική,δυτικός,ADJ
δυτικής,δυτικός,ADJ
δυτικοαφρικανική,δυτικοαφρικανικός,ADJ
δυτικό,δυτικός,ADJ
δυτικών,δυτικός,ADJ
δωμάτιο,δωμάτιο,NOUN
δωρεών,δωρεά,NOUN
δωρικού,δωρικός,ADJ
δωροδοκία,δωροδοκία,NOUN
δόγμα,δόγμα,NOUN
δόθηκε,δίνω,VERB
δόνησης,δόνηση,NOUN
δύναμη,δύναμη,NOUN
δύναμης,δύναμη,NOUN
δύσεως,δύση,NOUN
δύση,δύση,NOUN
δύσης,δύση,NOUN
δύσκολες,δύσκολος,ADJ
δύσκολη,δύσκολος,ADJ
δύσκολο,δύσκολος,ADJ
δώσαμε,δίνω,VERB
δώσει,δίνω,VERB
δώσουμε,δίνω,VERB
δώσουν,δίνω,VERB
δώστε,δίνω,VERB
δώσω,δίνω,VERB
ε',ε',ADJ
εάν,αν,SCONJ
είδα,βλέπω,VERB
είδαμε,βλέπω,VERB
είδαν,βλέπω,VERB
είδατε,βλέπω,VERB
είδη,είδος,NOUN
είδος,είδος,NOUN
είδους,είδος,NOUN
είμαι,είμαι,AUX
είμαστε,είμαι,AUX
είναι,είμαι,AUX
είπα,λέγω,VERB
είπαν,λέγω,VERB
είπατε,λέγω,VERB
είπε,λέγω,VERB
είσαστε,είμαι,AUX
είσοδο,είσοδος,NOUN
είσοδος,είσοδος,NOUN
είσπραξης,είσπραξη,NOUN
είτε,είτε,CCONJ
είχα,έχω,VERB
είχαμε,έχω,AUX
είχαμε,έχω,VERB
είχαν,έχω,AUX
είχαν,έχω,VERB
είχατε,έχω,AUX
είχε,έχω,AUX
είχε,έχω,VERB
εαμικού,εαμικός,ADJ
εαρινή,εαρινός,ADJ
εαυτό,εαυτός,NOUN
εβδομάδα,εβδομάδα,NOUN
εβδομάδας,εβδομάδα,NOUN
εβδομάδες,εβδομάδα,NOUN
εβδομάδων,εβδομάδα,NOUN
εβραίοι,εβραίος,PROPN
εβραίους,εβραίος,PROPN
εβραϊκής,εβραϊκός,ADJ
εγγενή,εγγενής,ADJ
εγγενών,εγγενής,ADJ
εγγράφου,έγγραφο,NOUN
εγγράφων,έγγραφο,NOUN
εγγυάται,εγγυώμαι,VERB
εγγυήσεις,εγγύηση,NOUN
εγγυηθούμε,εγγυώμαι,VERB
εγγυητριών,εγγυήτρια,ADJ
εγγυώνται,εγγυώμαι,VERB
εγγύηση,εγγύηση,NOUN
εγγύησης,εγγύηση,NOUN
εγγύς,εγγύς,ADV
εγγύτητα,εγγύτητα,NOUN
εγκέλαδος,εγκέλαδος,PROPN
εγκέφαλο,εγκέφαλος,NOUN
εγκέφαλοι,εγκέφαλος,NOUN
εγκέφαλος,εγκέφαλος,NOUN
εγκίζ,εγκίζ,PROPN
εγκαθίδρυση,εγκαθίδρυση,NOUN
εγκατάλειψη,εγκατάλειψη,NOUN
εγκατάλειψης,εγκατάλειψη,NOUN
εγκατάστασης,εγκατάσταση,NOUN
εγκατέλειπε,εγκαταλείπω,VERB
εγκατέλειψαν,εγκαταλείπω,VERB
εγκαταλείπουν,εγκαταλείπω,VERB
εγκαταλείφθηκε,εγκαταλείπω,VERB
εγκαταλείψει,εγκαταλείπω,VERB
εγκαταλείψουν,εγκαταλείπω,VERB
εγκαταλειμμένες,εγκαταλείπω,ADJ
εγκαταστάθηκαν,εγκαθιστώ,VERB
εγκαταστάσεις,εγκατάσταση,NOUN
εγκεκριμένη,εγκρίνω,VERB
εγκεφάλου,εγκέφαλος,NOUN
εγκεφάλων,εγκέφαλος,NOUN
εγκεφαλικό,εγκεφαλικός,ADJ
εγκεφαλοπάθεια,εγκεφαλοπάθεια,NOUN
εγκλήματα,έγκλημα,NOUN
εγκλήματος,έγκλημα,NOUN
εγκλημάτων,έγκλημα,NOUN
εγκληματική,εγκληματικός,ADJ
εγκληματικών,εγκληματικός,ADJ
εγκλωβισμένα,εγκλωβίζω,VERB
εγκρίθηκαν,εγκρίνω,VERB
εγκρίθηκε,εγκρίνω,VERB
εγκρίναμε,εγκρίνω,VERB
εγκρίνει,εγκρίνω,VERB
εγκρίνονται,εγκρίνω,VERB
εγκρίνουμε,εγκρίνω,VERB
εγκρίνουν,εγκρίνω,VERB
εγκριθεί,εγκρίνω,VERB
εγκώμιο,εγκώμιο,NOUN
εγναντία,εγναντία,PROPN
εγνατία,εγνατία,PROPN
εγνατίας,εγνατία,NOUN
εγνατίας,εγνατία,PROPN
εγρήγορση,εγρήγορση,NOUN
εγχείρημα,εγχείρημα,NOUN
εγχείρηση,εγχείρηση,NOUN
εγχείρησης,εγχείρηση,NOUN
εγχειρήσεις,εγχείρηση,NOUN
εγχειρήσεων,εγχείρηση,NOUN
εγωιστικά,εγωιστικά,ADV
εγώ,εγώ,PRON
εδάφη,έδαφος,NOUN
εδάφους,έδαφος,NOUN
εδαφικές,εδαφικός,ADJ
εδραιωθεί,εδραιώνω,VERB
εδραιωθούν,εδραιώνω,VERB
εδώ,εδώ,ADV
εθελοντές,εθελοντής,NOUN
εθελοντικά,εθελοντικά,ADV
εθελοντική,εθελοντικός,ADJ
εθελοντικής,εθελοντικός,ADJ
εθνικά,εθνικός,ADJ
εθνικές,εθνικός,ADJ
εθνική,εθνικός,ADJ
εθνικής,εθνικός,ADJ
εθνικισμού,εθνικισμός,NOUN
εθνικιστής,εθνικιστής,ADJ
εθνικού,εθνικός,ADJ
εθνικούς,εθνικός,ADJ
εθνικό,εθνικός,ADJ
εθνικών,εθνικός,ADJ
εθνοσυνέλευσης,εθνοσυνέλευση,NOUN
εθνοτήτων,εθνότητα,NOUN
εθνοφρουρών,εθνοφρουρός,NOUN
εθνοφυλακή,εθνοφυλακή,NOUN
εθνότητα,εθνότητα,NOUN
εθνότητας,εθνότητα,NOUN
εθνών,έθνος,NOUN
ειδάλλως,ειδάλλως,ADV
ειδήσεων,είδηση,NOUN
ειδησεογραφικά,ειδησεογραφικός,ADJ
ειδικά,ειδικά,ADV
ειδικά,ειδικός,ADJ
ειδική,ειδικός,ADJ
ειδικής,ειδικός,ADJ
ειδικούς,ειδικός,ADJ
ειδικό,ειδικός,ADJ
ειδικότερα,ειδικά,ADV
ειδικών,ειδικός,ADJ
ειδοποίηση,ειδοποίηση,NOUN
ειδοποιούν,ειδοποιώ,VERB
εικονίστρας,εικονίστρα,NOUN
εικοσαετίας,εικοσαετία,NOUN
εικόνα,εικόνα,NOUN
εικόνες,εικόνα,NOUN
ειλικρινά,ειλικρινά,ADV
ειλικρινείς,ειλικρινής,ADJ
ειπωθεί,λέγω,VERB
ειρήνη,ειρήνη,NOUN
ειρήνης,ειρήνη,NOUN
ειρήνης,ειρήνη,PROPN
ειρηνευτικές,ειρηνευτικός,ADJ
ειρηνευτική,ειρηνευτικός,ADJ
ειρηνευτικών,ειρηνευτικός,ADJ
ειρηνικά,ειρηνικά,ADV
ειρηνικές,ειρηνικός,ADJ
ειρηνικό,ειρηνικός,ADJ
ειρωνικά,ειρωνικός,ADJ
εις,εις,ADP
εισάγει,εισάγω,VERB
εισάγεται,εισάγω,VERB
εισάγοντας,εισάγω,VERB
εισάγουμε,εισάγω,VERB
εισέβαλε,εισβάλλω,VERB
εισέρχονται,εισέρχομαι,VERB
εισήγηση,εισήγηση,NOUN
εισήλθαν,εισέρχομαι,VERB
εισήλθε,εισέρχομαι,VERB
εισήχθη,εισάγω,VERB
εισαγγελέα,εισαγγελέας,NOUN
εισαγγελέας,εισαγγελέας,NOUN
εισαγγελία,εισαγγελία,NOUN
εισαγγελίας,εισαγγελία,NOUN
εισαγγελείς,εισαγγελέας,NOUN
εισαγγελική,εισαγγελικός,ADJ
εισαγωγές,εισαγωγή,NOUN
εισαγωγή,εισαγωγή,NOUN
εισαγωγής,εισαγωγή,NOUN
εισαχθούν,εισάγω,VERB
εισβάλλει,εισβάλλω,VERB
εισβολή,εισβολή,NOUN
εισβολής,εισβολή,NOUN
εισβολείς,εισβολέας,NOUN
εισηγήτρια,εισηγήτρια,NOUN
εισηγητές,εισηγητής,NOUN
εισηγητή,εισηγητής,NOUN
εισηγητής,εισηγητής,NOUN
εισοδήματα,εισόδημα,NOUN
εισοδημάτων,εισόδημα,NOUN
εισπράτταμε,εισπράττω,VERB
εισροή,εισροή,NOUN
εισφορές,εισφορά,NOUN
εισόδημα,εισόδημα,NOUN
εισόδου,είσοδος,NOUN
εκ,εκ,ADP
εκάστοτε,εκάστοτε,ADV
εκατομμυρίων,εκατομμύριο,NOUN
εκατομμύρια,εκατομμύριο,NOUN
εκατομμύριο,εκατομμύριο,NOUN
εκατοστά,εκατοστό,NOUN
εκατοστιαίας,εκατοστιαίος,ADJ
εκατόμβη,εκατόμβη,NOUN
εκβάλλει,εκβάλλω,VERB
εκβατήριας,εκβατήριος,ADJ
εκβολών,εκβολή,NOUN
εκδήλωση,εκδήλωση,NOUN
εκδίωξη,εκδίωξη,NOUN
εκδίωξης,εκδίωξη,NOUN
εκδηλώθηκε,εκδηλώνω,VERB
εκδιωχθούν,εκδιώκω,VERB
εκδοθεί,εκδίδω,VERB
εκδοθεισών,εκδοθείς,ADJ
εκδοχές,εκδοχή,NOUN
εκδοχή,εκδοχή,NOUN
εκδρομές,εκδρομή,NOUN
εκδόθηκαν,εκδίδω,VERB
εκδόθηκε,εκδίδω,VERB
εκδόσεις,έκδοση,NOUN
εκδώσει,εκδίδω,VERB
εκεί,εκεί,ADV
εκείνα,εκείνος,PRON
εκείνες,εκείνος,DET
εκείνες,εκείνος,PRON
εκείνη,εκείνος,DET
εκείνη,εκείνος,PRON
εκείνο,εκείνος,DET
εκείνο,εκείνος,PRON
εκείνοι,εκείνος,PRON
εκείνον,εκείνος,PRON
εκείνους,εκείνος,PRON
εκθέσεις,έκθεση,NOUN
εκθέσω,εκθέτω,VERB
εκκένωση,εκκένωση,NOUN
εκκίνησης,εκκίνηση,NOUN
εκκενώσουν,εκκενώνω,VERB
εκκλήσεις,έκκληση,NOUN
εκκλησάκι,εκκλησάκι,NOUN
εκκλησάκια,εκκλησάκι,NOUN
εκκλησία,εκκλησία,NOUN
εκκλησίας,εκκλησία,NOUN
εκκλησίες,εκκλησία,NOUN
εκκλησιές,εκκλησιά,NOUN
εκκλησιαστικά,εκκλησιαστικός,ADJ
εκκρεμούσε,εκκρεμώ,VERB
εκλέκτορες,εκλέκτορας,NOUN
εκλέχθηκε,εκλέγω,VERB
εκλείπει,εκλείπω,VERB
εκλεγέντα,εκλεγείς,ADJ
εκλεγμένη,εκλεγμένος,ADJ
εκλεγμένο,εκλέγω,ADJ
εκλεγμένος,εκλέγω,VERB
εκλεγμένων,εκλέγω,VERB
εκλεκτορικές,εκλεκτορικός,ADJ
εκλογές,εκλογή,NOUN
εκλογή,εκλογή,NOUN
εκλογική,εκλογικός,ADJ
εκλογικού,εκλογικός,ADJ
εκλογών,εκλογή,NOUN
εκπαίδευσή,εκπαίδευση,NOUN
εκπαίδευση,εκπαίδευση,NOUN
εκπαίδευσης,εκπαίδευση,NOUN
εκπαιδευτικό,εκπαιδευτικός,ADJ
εκπαιδευτικών,εκπαιδευτικός,ADJ
εκπαιδεύεται,εκπαιδεύω,VERB
εκπαιδεύονται,εκπαιδεύω,VERB
εκπατρίστηκαν,εκπατρίζομαι,VERB
εκπλήρωση,εκπλήρωση,NOUN
εκπλήσσει,εκπλήσσω,VERB
εκπληκτικής,εκπληκτικός,ADJ
εκπληρωθεί,εκπληρώνω,VERB
εκπληρωθούν,εκπληρώνω,VERB
εκπληρώνει,εκπληρώνω,VERB
εκπληρώνουν,εκπληρώνω,VERB
εκπληρώσει,εκπληρώνω,VERB
εκπομπές,εκπομπή,NOUN
εκπομπή,εκπομπή,NOUN
εκπομπής,εκπομπή,NOUN
εκπομπών,εκπομπή,NOUN
εκπονήθηκε,εκπονώ,VERB
εκπονήσει,εκπονώ,VERB
εκπροσωπήσουμε,εκπροσωπώ,VERB
εκπροσωπεί,εκπροσωπώ,VERB
εκπροσωπείται,εκπροσωπώ,VERB
εκπροσωπούνται,εκπροσωπώ,VERB
εκπροσώπηση,εκπροσώπηση,NOUN
εκπροσώπησης,εκπροσώπηση,NOUN
εκπροσώπους,εκπρόσωπος,NOUN
εκπρόσωπε,εκπρόσωπος,NOUN
εκπρόσωπο,εκπρόσωπος,NOUN
εκπρόσωποι,εκπρόσωπος,NOUN
εκπρόσωπος,εκπρόσωπος,NOUN
εκπτώσεις,έκπτωση,NOUN
εκπόνησε,εκπονώ,VERB
εκρήξεις,έκρηξη,NOUN
εκρήξεων,έκρηξη,NOUN
εκρηκτικά,εκρηκτικά,NOUN
εκρηκτικά,εκρηκτικός,NOUN
εκσκαφείς,εκσκαφέας,NOUN
εκστρατεία,εκστρατεία,NOUN
εκστρατείας,εκστρατεία,NOUN
εκσυγχρονισμός,εκσυγχρονισμός,NOUN
εκτάκτων,έκτακτος,ADJ
εκτάκτως,εκτάκτως,ADV
εκτάσεις,έκταση,NOUN
εκτέθηκαν,εκθέτω,VERB
εκτέλεση,εκτέλεση,NOUN
εκτέλεσης,εκτέλεση,NOUN
εκτίθενται,εκθέτω,VERB
εκτίθεται,εκθέτω,VERB
εκτίμηση,εκτίμηση,NOUN
εκτίμησης,εκτίμηση,NOUN
εκτείνεται,εκτείνω,VERB
εκτεθειμένοι,εκτεθειμένος,ADJ
εκτεινόταν,εκτείνω,VERB
εκτελέστηκε,εκτελώ,VERB
εκτελεστικές,εκτελεστικός,ADJ
εκτελεστική,εκτελεστικός,ADJ
εκτελεστός,εκτελεστός,NOUN
εκτελούν,εκτελώ,VERB
εκτελούνται,εκτελώ,VERB
εκτελούσε,εκτελώ,VERB
εκτεταμένα,εκτεταμένος,ADJ
εκτεταμένων,εκτεταμένος,ADJ
εκτιμά,εκτιμώ,VERB
εκτιμήσει,εκτιμώ,VERB
εκτιμήσεις,εκτίμηση,NOUN
εκτιμημένη,εκτιμώ,VERB
εκτοξευτεί,εκτοξεύω,VERB
εκτοξεύσεων,εκτόξευση,NOUN
εκτοξεύτηκε,εκτοξεύω,VERB
εκτοπίσουν,εκτοπίζω,VERB
εκτόνωση,εκτόνωση,NOUN
εκτόξευση,εκτόξευση,NOUN
εκτόξευσης,εκτόξευση,NOUN
εκτόπισε,εκτοπίζω,VERB
εκτός,εκτός,ADV
εκφράζει,εκφράζω,VERB
εκφράζοντας,εκφράζω,VERB
εκφράζουμε,εκφράζω,VERB
εκφράζω,εκφράζω,VERB
εκφράσαμε,εκφράζω,VERB
εκφράσει,εκφράζω,VERB
εκφράστηκε,εκφράζω,VERB
εκφράσω,εκφράζω,VERB
εκφραστεί,εκφράζω,VERB
εκχωρήσει,εκχωρώ,VERB
εκχωρήσουμε,εκχωρώ,VERB
εκχώρηση,εκχώρηση,NOUN
ελάχιστα,λίγο,ADJ
ελάχιστα,λίγο,ADV
ελάχιστες,ελάχιστος,ADJ
ελάχιστο,ελάχιστος,ADJ
ελάχιστοι,ελάχιστος,ADJ
ελέγξει,ελέγχω,VERB
ελέγχει,ελέγχω,VERB
ελέγχεται,ελέγχω,VERB
ελέγχονται,ελέγχω,VERB
ελέγχονταν,ελέγχω,VERB
ελέγχου,έλεγχος,NOUN
ελέγχους,έλεγχος,NOUN
ελέγχων,έλεγχος,NOUN
ελένη,ελένη,PROPN
ελήφθη,λαμβάνω,VERB
ελαιόδεντρα,ελαιόδεντρο,NOUN
ελασίτη,ελασίτης,PROPN
ελαφρά,ελαφρά,ADV
ελαχίστων,ελάχιστος,ADJ
ελαχιστοποίηση,ελαχιστοποίηση,NOUN
ελβετίας,ελβετία,PROPN
ελεγκτές,ελεγκτής,NOUN
ελεγκτικού,ελεγκτικός,ADJ
